epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.4589,1.23093,3.14329,1.79765,0.00334,1,0.40392,0.27341,0.64938,3.78944,1.75739,0.00010003,0.00010003,0.00010003
2,62.5211,0.96235,2.54254,1.57939,0.00349,1,0.59498,0.45843,0.6785,3.55329,1.66905,0.000212228,0.000212228,0.000212228
3,90.7224,0.93182,1.89188,1.46768,0.00366,1,0.69583,0.53952,0.86491,3.42746,1.87244,0.000322162,0.000322162,0.000322162
4,118.39,0.87223,1.49675,1.38774,0.00363,1,0.92167,0.67625,0.97776,3.13352,2.2536,0.000429833,0.000429833,0.000429833
5,146.159,0.87303,1.26462,1.38253,0.99879,0.6838,0.89881,0.65411,0.97074,2.91373,2.31092,0.000535241,0.000535241,0.000535241
6,172.743,0.90255,1.32128,1.41521,0.83227,0.82409,0.94,0.56887,1.14132,2.96161,2.48222,0.000638384,0.000638384,0.000638384
7,199.169,0.85165,1.33214,1.43866,0.65469,0.66667,0.82853,0.51895,1.04192,3.21113,2.22043,0.000739265,0.000739265,0.000739265
8,224.195,0.96853,1.27764,1.44713,0.44517,0.73243,0.52845,0.21633,2.29472,3.91368,3.11619,0.000837881,0.000837881,0.000837881
9,247.661,0.90336,1.21281,1.4509,0.45851,0.53397,0.34361,0.10653,2.14539,4.15985,3.0393,0.000934234,0.000934234,0.000934234
10,272.306,0.82979,1.06911,1.33393,0.52862,0.55323,0.62051,0.18083,2.10805,3.648,3.17023,0.00102832,0.00102832,0.00102832
11,295.788,0.83437,1.03534,1.35081,0.48504,0.88889,0.81767,0.51182,1.22181,3.03854,2.19002,0.00112015,0.00112015,0.00112015
12,319.053,0.83105,1.01139,1.29984,0.72662,0.92038,0.97833,0.77254,0.98908,2.21118,1.9941,0.00120971,0.00120971,0.00120971
13,342.111,0.80042,1.00484,1.32481,0.74962,0.97266,0.93433,0.64876,1.2365,2.06303,2.46613,0.00125923,0.00125923,0.00125923
14,365.348,0.82858,0.95016,1.32791,0.66364,0.8484,0.93204,0.50531,1.58474,2.49355,2.89547,0.00124509,0.00124509,0.00124509
15,388.848,0.8181,0.95392,1.3224,0.96097,0.97806,0.995,0.70348,1.01195,1.62068,2.13456,0.00123094,0.00123094,0.00123094
16,412.043,0.77899,0.90717,1.32134,0.82936,0.8718,0.93214,0.6595,1.07432,1.80086,2.34494,0.00121679,0.00121679,0.00121679
17,435.363,0.7604,0.8876,1.28622,0.75838,0.7595,0.91548,0.57127,1.29804,2.46659,2.44161,0.00120265,0.00120265,0.00120265
18,458.995,0.74594,0.8861,1.28307,0.9234,0.91926,0.995,0.74119,0.98751,1.53045,2.02326,0.0011885,0.0011885,0.0011885
19,482.276,0.76488,0.90064,1.30046,0.96703,0.98152,0.995,0.70963,1.06204,1.45258,2.19615,0.00117435,0.00117435,0.00117435
20,506.145,0.75177,0.84944,1.27795,0.91633,0.84802,0.92167,0.6761,1.15893,1.68321,2.1879,0.00116021,0.00116021,0.00116021
21,529.195,0.73014,0.76407,1.23856,0.78506,0.8759,0.89881,0.58815,1.36977,1.9024,2.36819,0.00114606,0.00114606,0.00114606
22,553.433,0.74339,0.80367,1.24645,0.82214,0.89835,0.951,0.65621,1.13088,1.77038,2.10886,0.00113191,0.00113191,0.00113191
23,576.518,0.71865,0.80023,1.24751,0.87469,0.81301,0.92625,0.62316,1.17701,1.64799,2.21756,0.00111776,0.00111776,0.00111776
24,599.581,0.67718,0.74504,1.2139,0.92159,0.88889,0.93214,0.58666,1.33947,1.52796,2.6755,0.00110362,0.00110362,0.00110362
25,622.956,0.72882,0.73042,1.23733,0.96568,0.94033,0.995,0.72866,1.14273,1.26573,2.23121,0.00108947,0.00108947,0.00108947
26,646.006,0.70098,0.70577,1.23511,0.96033,0.87288,0.9675,0.68408,1.08107,1.30304,2.06166,0.00107532,0.00107532,0.00107532
